stars,movies,appearances
Aishwarya Rai Bachchan,"['Hum Dil De Chuke Sanam', 'Josh', 'Devdas', 'Khakee', 'Bride & Prejudice', 'Dhoom 2', 'Guru', 'The Last Legion', 'Jodhaa Akbar', 'Guzaarish', 'Enthiran', 'Ae Dil Hai Mushkil', 'Ponniyin Selvan: Part I', 'Ponniyin Selvan: Part Two']",14
Aisling Franciosi,['The Nightingale'],1
Aizhan Lighg,['The Legend of Tomiris'],1
Aja Naomi King,['The Upside'],1
Ajay Devgn,"['Ishq', 'Hum Dil De Chuke Sanam', 'The Legend of Bhagat Singh', 'Company', 'Gangaajal', 'Khakee', 'Omkara', 'Golmaal: Fun Unlimited', 'Once Upon a Time in Mumbaai', 'Raajneeti', 'Singham', 'Drishyam', 'Shivaay', 'Raid', 'Tanhaji: The Unsung Warrior', 'Sooryavanshi', 'Drishyam 2', 'RRR', 'Runway 34', 'Thank God', 'Bholaa']",21
Ajay Naidu,['Office Space'],1
Ajiona Alexus,['Breaking In'],1
Ajith Kumar,"['Mankatha', 'Billa 2', 'Arrambam', 'Yennai Arindhaal', 'Vivegam', 'Nerkonda Paarvai', 'Viswasam', 'Valimai', 'Thunivu']",9
Aju Varghese,['Minnal Murali'],1
Akash Thosar,['Sairat'],1
Akemi Okamura,['One Piece Film: Red'],1
Akemi Yamaguchi,['Grave of the Fireflies'],1
Akhil Iyer,['Hit: The First Case'],1
Akhilendra Mishra,['The Legend of Bhagat Singh'],1
Aki Maeda,"['Battle Royale', 'The Cat Returns']",2
Akihiko Hirata,['Godzilla'],1
Akihiro Miwa,"[""Howl's Moving Castle""]",1
Akiko Iwase,['Minamata'],1
Akiko Wakabayashi,['You Only Live Twice'],1
Akim Tamiroff,['Alphaville'],1
Akira Ishida,['Evangelion: 3.0+1.01 Thrice Upon a Time'],1
Akira Ishihama,['Harakiri'],1
Akira Kurosawa,['Tora! Tora! Tora!'],1
Akira Takarada,['Godzilla'],1
Akira Terao,"['Ran', 'Dreams', 'Casshern']",3
Akiva Schaffer,['Popstar: Never Stop Never Stopping'],1
Akkineni Nageswara Rao,['Manam'],1
Aksel Hennie,"['Max Manus: Man of War', 'Headhunters', 'Age of Heroes', 'Last Knights', 'The Trip', 'Sisu']",6
Akshara Haasan,['Vivegam'],1
Akshat Verma,['Delhi Belly'],1
