stars,title,appearances
Viola Davis,Get on Up,18
Michael Stahl-David,In Your Eyes,1
Zoe Kazan,In Your Eyes,9
Mark Feuerstein,In Your Eyes,2
David Gallagher,In Your Eyes,1
Mark Ruffalo,Infinitely Polar Bear,29
Zoe Saldana,Infinitely Polar Bear,16
Imogene Wolodarsky,Infinitely Polar Bear,1
Ashley Aufderheide,Infinitely Polar Bear,1
Holger Andersson,A Pigeon Sat on a Branch Reflecting on Existence,1
Nils Westblom,A Pigeon Sat on a Branch Reflecting on Existence,1
Viktor Gyllenberg,A Pigeon Sat on a Branch Reflecting on Existence,1
Alexandre Astier,Asterix and Obelix: Mansion of the Gods,3
Roger Carel,Asterix and Obelix: Mansion of the Gods,7
Laurent Lafitte,Asterix and Obelix: Mansion of the Gods,3
Alexandre Astier,Asterix and Obelix: Mansion of the Gods,3
Arjun Kapoor,2 States,2
Alia Bhatt,2 States,14
Amrita Singh,2 States,1
Revathi,2 States,2
Maika Monroe,It Follows,9
Keir Gilchrist,It Follows,3
Olivia Luccardi,It Follows,1
Lili Sepe,It Follows,1
Dylan O'Brien,The Maze Runner,8
Kaya Scodelario,The Maze Runner,6
Will Poulter,The Maze Runner,6
Thomas Brodie-Sangster,The Maze Runner,4
Essie Davis,The Babadook,3
Noah Wiseman,The Babadook,1
Daniel Henshall,The Babadook,3
Hayley McElhinney,The Babadook,1
Kristen Wiig,The Skeleton Twins,19
Bill Hader,The Skeleton Twins,12
Luke Wilson,The Skeleton Twins,15
Ty Burrell,The Skeleton Twins,6
Kevin Costner,Draft Day,39
Chadwick Boseman,Draft Day,9
Jennifer Garner,Draft Day,24
Frank Langella,Draft Day,14
Chris Evans,Before We Go,29
Alice Eve,Before We Go,9
Emma Fitzpatrick,Before We Go,2
John Cullum,Before We Go,1
Ty Burrell,Mr. Peabody & Sherman,6
Max Charles,Mr. Peabody & Sherman,1
Stephen Colbert,Mr. Peabody & Sherman,2
Leslie Mann,Mr. Peabody & Sherman,13
John Lloyd Young,Jersey Boys,1
Erich Bergen,Jersey Boys,1
Michael Lomenda,Jersey Boys,1
Vincent Piazza,Jersey Boys,1
Kate Beckinsale,Stonehearst Asylum,25
Jim Sturgess,Stonehearst Asylum,14
David Thewlis,Stonehearst Asylum,17
Brendan Gleeson,Stonehearst Asylum,15
Anthony Stacchi,The Boxtrolls,2
Ben Kingsley,The Boxtrolls,33
Jared Harris,The Boxtrolls,7
Nick Frost,The Boxtrolls,7
Richard Ayoade,The Boxtrolls,1
Juliette Binoche,Clouds of Sils Maria,19
Kristen Stewart,Clouds of Sils Maria,27
Lars Eidinger,Clouds of Sils Maria,4
Gugu Mbatha-Raw,Beyond the Lights,8
Nate Parker,Beyond the Lights,4
Minnie Driver,Beyond the Lights,8
Danny Glover,Beyond the Lights,19
Timothy Spall,Mr. Turner,12
Paul Jesson,Mr. Turner,1
Dorothy Atkinson,Mr. Turner,1
Marion Bailey,Mr. Turner,1
Geir Vegar Hoel,Dead Snow 2: Red vs. Dead,2
Martin Starr,Dead Snow 2: Red vs. Dead,3
Jocelyn DeBoer,Dead Snow 2: Red vs. Dead,2
Sidharth Malhotra,Hasee Toh Phasee,7
Parineeti Chopra,Hasee Toh Phasee,4
Adah Sharma,Hasee Toh Phasee,2
Manoj Joshi,Hasee Toh Phasee,1
Priyanka Chopra Jonas,Mary Kom,17
Sunil Thapa,Mary Kom,1
Robin Das,Mary Kom,1
Rajni Basumatary,Mary Kom,1
Veronika Franz,Goodnight Mommy,2
Lukas Schwarz,Goodnight Mommy,1
Elias Schwarz,Goodnight Mommy,1
Susanne Wuest,Goodnight Mommy,1
Hans Escher,Goodnight Mommy,1
Philip Seymour Hoffman,A Most Wanted Man,25
Rachel McAdams,A Most Wanted Man,26
Robin Wright,A Most Wanted Man,20
Mads Mikkelsen,The Salvation,17
Eva Green,The Salvation,13
Jeffrey Dean Morgan,The Salvation,13
Eric Cantona,The Salvation,3
Dan Stevens,The Guest,9
Sheila Kelley,The Guest,2
Maika Monroe,The Guest,9
Joel David Moore,The Guest,3
Mireille Enos,If I Stay,4
Jamie Blackley,If I Stay,2
Joshua Leonard,If I Stay,4
Kristen Bell,Veronica Mars,15
Jason Dohring,Veronica Mars,1
Enrico Colantoni,Veronica Mars,1
Christopher Lowell,Veronica Mars,1
Aaron Moorhead,Spring,5
Lou Taylor Pucci,Spring,5
Nadia Hilker,Spring,1
Francesco Carnelutti,Spring,1
Nick Nevern,Spring,1
Michael C. Hall,Cold in July,6
Sam Shepard,Cold in July,11
Don Johnson,Cold in July,6
Vinessa Shaw,Cold in July,4
John Lithgow,Love Is Strange,20
Alfred Molina,Love Is Strange,16
Marisa Tomei,Love Is Strange,23
Charlie Tahan,Love Is Strange,5
Morgana O'Reilly,Housebound,1
Rima Te Wiata,Housebound,2
Glen-Paul Waru,Housebound,1
Ross Harper,Housebound,1
Justin Long,Comet,17
Emmy Rossum,Comet,6
Kayla Servi,Comet,1
Eric Winter,Comet,2
Philippe Lacheau,Babysitting,2
Philippe Lacheau,Babysitting,2
Alice David,Babysitting,1
Vincent Desagnat,Babysitting,1
Tarek Boudali,Babysitting,1
Jenny Slate,Obvious Child,5
Jake Lacy,Obvious Child,3
Gaby Hoffmann,Obvious Child,6
Gabe Liedman,Obvious Child,1
Leland Orser,Faults,3
Mary Elizabeth Winstead,Faults,11
Chris Ellis,Faults,1
Jon Gries,Faults,2
Omar Sy,Samba,8
Charlotte Gainsbourg,Samba,8
Tahar Rahim,Samba,6
Shailene Woodley,Divergent,11
Theo James,Divergent,9
Kate Winslet,Divergent,30
Jai Courtney,Divergent,8
Andrew Garfield,The Amazing Spider-Man 2,13
Emma Stone,The Amazing Spider-Man 2,20
Jamie Foxx,The Amazing Spider-Man 2,25
Paul Giamatti,The Amazing Spider-Man 2,25
Jennifer Lawrence,The Hunger Games: Mockingjay - Part 1,20
Josh Hutcherson,The Hunger Games: Mockingjay - Part 1,15
Liam Hemsworth,The Hunger Games: Mockingjay - Part 1,15
Woody Harrelson,The Hunger Games: Mockingjay - Part 1,42
Jason Bateman,This Is Where I Leave You,22
Tina Fey,This Is Where I Leave You,10
Jane Fonda,This Is Where I Leave You,20
Adam Driver,This Is Where I Leave You,20
James Marsden,The Best of Me,22
Michelle Monaghan,The Best of Me,16
Luke Bracey,The Best of Me,5
Liana Liberato,The Best of Me,3
Joaquin Phoenix,Inherent Vice,31
Josh Brolin,Inherent Vice,20
Owen Wilson,Inherent Vice,36
Katherine Waterston,Inherent Vice,6
Tommy Lee Jones,The Homesman,33
Hilary Swank,The Homesman,15
Grace Gummer,The Homesman,2
Miranda Otto,The Homesman,7
Simon J. Smith,Penguins of Madagascar,1
Tom McGrath,Penguins of Madagascar,4
Chris Miller,Penguins of Madagascar,1
Christopher Knights,Penguins of Madagascar,1
Conrad Vernon,Penguins of Madagascar,5
Kaitlyn Dever,"Men, Women & Children",4
Rosemarie DeWitt,"Men, Women & Children",7
Ansel Elgort,"Men, Women & Children",7
Jennifer Garner,"Men, Women & Children",24
Jim Caviezel,When the Game Stands Tall,14
Alexander Ludwig,When the Game Stands Tall,5
Michael Chiklis,When the Game Stands Tall,5
Laura Dern,When the Game Stands Tall,16
Zach Braff,Wish I Was Here,6
Joey King,Wish I Was Here,8
Pierce Gagnon,Wish I Was Here,1
Kate Hudson,Wish I Was Here,20
Kevin Costner,Black or White,39
Octavia Spencer,Black or White,14
Gillian Jacobs,Black or White,8
Anthony Mackie,Black or White,18
Steve Coogan,The Trip to Italy,15
Rob Brydon,The Trip to Italy,4
Rosie Fellner,The Trip to Italy,1
Claire Keelan,The Trip to Italy,1
Rinko Kikuchi,"Kumiko, The Treasure Hunter",4
Nobuyuki Katsube,"Kumiko, The Treasure Hunter",1
Kanako Higashi,"Kumiko, The Treasure Hunter",1
Ichi Kyokaku,"Kumiko, The Treasure Hunter",1
Kim Bodnia,Rosewater,4
Dimitri Leonidas,Rosewater,1
Haluk Bilginer,Rosewater,8
Adam Sandler,Blended,40
Drew Barrymore,Blended,26
Wendi McLendon-Covey,Blended,4
Kevin Nealon,Blended,1
Robert Rodriguez,Sin City: A Dame to Kill For,4
Mickey Rourke,Sin City: A Dame to Kill For,19
Jessica Alba,Sin City: A Dame to Kill For,18
Josh Brolin,Sin City: A Dame to Kill For,20
Joseph Gordon-Levitt,Sin City: A Dame to Kill For,22
Seth Rogen,The Interview,24
James Franco,The Interview,23
Seth Rogen,The Interview,24
Randall Park,The Interview,2
Lizzy Caplan,The Interview,5
Liam Neeson,A Walk Among the Tombstones,48
Dan Stevens,A Walk Among the Tombstones,9
David Harbour,A Walk Among the Tombstones,7
Boyd Holbrook,A Walk Among the Tombstones,7
Sidse Babett Knudsen,The Duke of Burgundy,3
Monica Swinn,The Duke of Burgundy,1
Chiara D'Anna,The Duke of Burgundy,1
Kata Bartsch,The Duke of Burgundy,1
Kate Winslet,A Little Chaos,30
Alan Rickman,A Little Chaos,12
Stanley Tucci,A Little Chaos,24
Matthias Schoenaerts,A Little Chaos,12
Danielle Panabaker,Time Lapse,5
Matt O'Leary,Time Lapse,4
George Finn,Time Lapse,1
John Rhys-Davies,Time Lapse,3
Evan Rachel Wood,Barefoot,17
Scott Speedman,Barefoot,8
J.K. Simmons,Barefoot,16
Treat Williams,Barefoot,7
Colin Firth,Magic in the Moonlight,30
Emma Stone,Magic in the Moonlight,20
Marcia Gay Harden,Magic in the Moonlight,14
Hamish Linklater,Magic in the Moonlight,1
Benicio Del Toro,Escobar: Paradise Lost,20
Josh Hutcherson,Escobar: Paradise Lost,15
Claudia Traisac,Escobar: Paradise Lost,1
Brady Corbet,Escobar: Paradise Lost,3
Patrick Wilson,Stretch,25
Ed Helms,Stretch,16
James Badge Dale,Stretch,8
Brooklyn Decker,Stretch,3
Sidharth Malhotra,The Villain,7
Shraddha Kapoor,The Villain,6
Riteish Deshmukh,The Villain,4
Shaad Randhawa,The Villain,2
Clara Lago,Spanish Affair,4
Dani Rovira,Spanish Affair,1
Carmen Machi,Spanish Affair,3
Karra Elejalde,Spanish Affair,4
Scarlett Johansson,Lucy,34
Morgan Freeman,Lucy,52
Choi Min-sik,Lucy,5
Amr Waked,Lucy,2
Brenton Thwaites,The Giver,7
Jeff Bridges,The Giver,38
Meryl Streep,The Giver,45
Taylor Swift,The Giver,2
Aaron Taylor-Johnson,Godzilla,12
Elizabeth Olsen,Godzilla,11
Bryan Cranston,Godzilla,14
Ken Watanabe,Godzilla,9
Aaron Paul,Need for Speed,10
Dominic Cooper,Need for Speed,10
Imogen Poots,Need for Speed,11
Kid Cudi,Need for Speed,4
Jake Johnson,Let's Be Cops,6
Damon Wayans Jr.,Let's Be Cops,3
Rob Riggle,Let's Be Cops,6
Nina Dobrev,Let's Be Cops,5
Frank Grillo,The Purge: Anarchy,10
Carmen Ejogo,The Purge: Anarchy,5
Zach Gilford,The Purge: Anarchy,2
Kiele Sanchez,The Purge: Anarchy,2
Vincent Cassel,Beauty and the Beast,23
Eduardo Noriega,Beauty and the Beast,6
Guy Pearce,The Rover,26
Robert Pattinson,The Rover,18
Scoot McNairy,The Rover,7
David Field,The Rover,3
Shailene Woodley,White Bird in a Blizzard,11
Eva Green,White Bird in a Blizzard,13
Christopher Meloni,White Bird in a Blizzard,5
Angela Bassett,White Bird in a Blizzard,16
Ricky Gervais,Muppets Most Wanted,7
Ty Burrell,Muppets Most Wanted,6
Tina Fey,Muppets Most Wanted,10
Steve Whitmire,Muppets Most Wanted,4
Jude Law,Black Sea,33
Scoot McNairy,Black Sea,7
Ben Mendelsohn,Black Sea,11
David Threlfall,Black Sea,2
Jennifer Aniston,Cake,32
Adriana Barraza,Cake,4
Anna Kendrick,Cake,26
Sam Worthington,Cake,17
Iain Morris,The Inbetweeners 2,1
Simon Bird,The Inbetweeners 2,2
James Buckley,The Inbetweeners 2,2
Blake Harrison,The Inbetweeners 2,2
Joe Thomas,The Inbetweeners 2,2
Keira Knightley,Laggies,28
Sam Rockwell,Laggies,24
Mark Webber,Laggies,5
Chris Rock,Top Five,21
Rosario Dawson,Top Five,20
Gabrielle Union,Top Five,9
Kevin Hart,Top Five,20
Ewan McGregor,Son of a Gun,45
Brenton Thwaites,Son of a Gun,7
Alicia Vikander,Son of a Gun,15
Brendan Kerkvliet,Son of a Gun,1
Jonathan Daniel Brown,Kid Cannabis,2
Kenny Wormald,Kid Cannabis,2
Aaron Yoo,Kid Cannabis,3
Ron Perlman,Kid Cannabis,18
Ethan Hawke,Good Kill,38
January Jones,Good Kill,4
Fatima El Bahraouy,Good Kill,1
Donnie Yen,Kung Fu Jungle,14
Baoqiang Wang,Kung Fu Jungle,2
Charlie Yeung,Kung Fu Jungle,4
Bing Bai,Kung Fu Jungle,1
Vinnie Jones,Redirected,6
Scot Williams,Redirected,1
Gil Darnell,Redirected,1
Oliver Jackson,Redirected,1
Katie Aselton,Creep,3
Patrick Brice,Creep,1
Mark Duplass,Creep,10
Seth Rogen,Neighbors,24
Rose Byrne,Neighbors,23
Zac Efron,Neighbors,20
Lisa Kudrow,Neighbors,13
Ryan Reynolds,The Voices,41
Gemma Arterton,The Voices,10
Anna Kendrick,The Voices,26
Jacki Weaver,The Voices,4
Jesse Eisenberg,Rio 2,26
Anne Hathaway,Rio 2,31
Jemaine Clement,Rio 2,7
Andy Garcia,Rio 2,20
Jason Bateman,Horrible Bosses 2,22
Jason Sudeikis,Horrible Bosses 2,15
Charlie Day,Horrible Bosses 2,8
Jennifer Aniston,Horrible Bosses 2,32
Karl Urban,The Loft,12
James Marsden,The Loft,22
Wentworth Miller,The Loft,2
Eric Stonestreet,The Loft,3
Ben Stiller,While We're Young,29
Naomi Watts,While We're Young,33
Adam Driver,While We're Young,20
Amanda Seyfried,While We're Young,21
Nicole Kidman,Before I Go to Sleep,49
Colin Firth,Before I Go to Sleep,30
Mark Strong,Before I Go to Sleep,19
Anne-Marie Duff,Before I Go to Sleep,4
Pierce Brosnan,The November Man,31
Luke Bracey,The November Man,5
Olga Kurylenko,The November Man,13
Bill Smitrovich,The November Man,1
Miles Teller,Two Night Stand,12
Lio Tipton,Two Night Stand,3
Jessica Szohr,Two Night Stand,1
Kid Cudi,Two Night Stand,4
Mark Webber,13 Sins,5
Devon Graye,13 Sins,2
Tom Bower,13 Sins,2
Rutina Wesley,13 Sins,1
Hugh Grant,The Rewrite,25
Whit Baldwin,The Rewrite,1
Vanessa Wasche,The Rewrite,1
Enid Graham,The Rewrite,1
Seann William Scott,Just Before I Go,19
Olivia Thirlby,Just Before I Go,8
Garret Dillahunt,Just Before I Go,7
Kate Walsh,Just Before I Go,2
James McAvoy,The Disappearance of Eleanor Rigby: Them,27
Jessica Chastain,The Disappearance of Eleanor Rigby: Them,21
Viola Davis,The Disappearance of Eleanor Rigby: Them,18
Bill Hader,The Disappearance of Eleanor Rigby: Them,12
Pierce Brosnan,A Long Way Down,31
Toni Collette,A Long Way Down,26
Imogen Poots,A Long Way Down,11
Aaron Paul,A Long Way Down,10
Michael Pitt,Rob the Mob,7
Nina Arianda,Rob the Mob,4
Andy Garcia,Rob the Mob,20
Ray Romano,Rob the Mob,10
Johnny Depp,Transcendence,49
Rebecca Hall,Transcendence,16
Morgan Freeman,Transcendence,52
Cillian Murphy,Transcendence,17
Perdita Weeks,"As Above, So Below",1
Ben Feldman,"As Above, So Below",1
Edwin Hodge,"As Above, So Below",1
Sullivan Stapleton,300: Rise of an Empire,2
Eva Green,300: Rise of an Empire,13
Lena Headey,300: Rise of an Empire,13
Hans Matheson,300: Rise of an Empire,1
Chris Pine,Jack Ryan: Shadow Recruit,23
Kevin Costner,Jack Ryan: Shadow Recruit,39
Keira Knightley,Jack Ryan: Shadow Recruit,28
Kenneth Branagh,Jack Ryan: Shadow Recruit,17
Ben Stiller,Night at the Museum: Secret of the Tomb,29
Robin Williams,Night at the Museum: Secret of the Tomb,38
Owen Wilson,Night at the Museum: Secret of the Tomb,36
Dick Van Dyke,Night at the Museum: Secret of the Tomb,4
Luke Evans,Dracula Untold,13
Dominic Cooper,Dracula Untold,10
Sarah Gadon,Dracula Untold,9
Art Parkinson,Dracula Untold,2
Eric Bana,Deliver Us from Evil,17
Olivia Munn,Deliver Us from Evil,5
Chris Coy,Deliver Us from Evil,2
Kevin Costner,3 Days to Kill,39
Hailee Steinfeld,3 Days to Kill,10
Connie Nielsen,3 Days to Kill,13
Amber Heard,3 Days to Kill,12
Gabriella Wilde,Endless Love,2
Alex Pettyfer,Endless Love,6
Bruce Greenwood,Endless Love,14
Robert Patrick,Endless Love,10
Steve Carell,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",31
Jennifer Garner,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",24
Ed Oxenbould,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",4
Dylan Minnette,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",3
Tyler James Williams,Dear White People,2
Tessa Thompson,Dear White People,12
Kyle Gallner,Dear White People,7
Teyonah Parris,Dear White People,5
Julianne Moore,Maps to the Stars,46
Mia Wasikowska,Maps to the Stars,12
Robert Pattinson,Maps to the Stars,18
John Cusack,Maps to the Stars,42
Viggo Mortensen,The Two Faces of January,18
Kirsten Dunst,The Two Faces of January,28
Oscar Isaac,The Two Faces of January,20
Daisy Bevan,The Two Faces of January,1
Nick Frost,Cuban Fury,7
Rashida Jones,Cuban Fury,7
Chris O'Dowd,Cuban Fury,9
Olivia Colman,Cuban Fury,8
Jay Gallagher,Wyrmwood: Road of the Dead,1
Bianca Bradey,Wyrmwood: Road of the Dead,1
Leon Burchill,Wyrmwood: Road of the Dead,1
Keith Agius,Wyrmwood: Road of the Dead,1
Diane Keaton,5 Flights Up,27
Morgan Freeman,5 Flights Up,52
Cynthia Nixon,5 Flights Up,4
Carrie Preston,5 Flights Up,1
Pierre Niney,Yves Saint Laurent,4
Guillaume Gallienne,Yves Saint Laurent,2
Charlotte Le Bon,Yves Saint Laurent,5
Laura Smet,Yves Saint Laurent,1
David Posamentier,Better Living Through Chemistry,1
Sam Rockwell,Better Living Through Chemistry,24
Olivia Wilde,Better Living Through Chemistry,20
Michelle Monaghan,Better Living Through Chemistry,16
Jane Fonda,Better Living Through Chemistry,20
Mohanlal,Jilla,6
Joseph Vijay,Jilla,16
Kajal Aggarwal,Jilla,6
Sampath Raj,Jilla,1
Joel Kinnaman,RoboCop,6
Gary Oldman,RoboCop,36
Michael Keaton,RoboCop,29
Abbie Cornish,RoboCop,11
George Clooney,The Monuments Men,33
Matt Damon,The Monuments Men,45
Bill Murray,The Monuments Men,33
Cate Blanchett,The Monuments Men,41
Sylvester Stallone,The Expendables 3,39
Jason Statham,The Expendables 3,36
Jet Li,The Expendables 3,19
Antonio Banderas,The Expendables 3,44
Ice Cube,Ride Along,16
Kevin Hart,Ride Along,20
Tika Sumpter,Ride Along,5
John Leguizamo,Ride Along,27
Seth MacFarlane,A Million Ways to Die in the West,5
Charlize Theron,A Million Ways to Die in the West,39
Liam Neeson,A Million Ways to Die in the West,48
Amanda Seyfried,A Million Ways to Die in the West,21
Zac Efron,That Awkward Moment,20
Michael B. Jordan,That Awkward Moment,10
Miles Teller,That Awkward Moment,12
Imogen Poots,That Awkward Moment,11
Imogen Poots,She's Funny That Way,11
Owen Wilson,She's Funny That Way,36
Jennifer Aniston,She's Funny That Way,32
Kathryn Hahn,She's Funny That Way,12
Colin Farrell,Winter's Tale,39
Jessica Brown Findlay,Winter's Tale,5
Russell Crowe,Winter's Tale,32
Jennifer Connelly,Winter's Tale,27
Michael Stuhlbarg,Cut Bank,9
Bruce Dern,Cut Bank,17
John Malkovich,Cut Bank,30
Joyce Robbins,Cut Bank,1
Philip Seymour Hoffman,God's Pocket,25
Christina Hendricks,God's Pocket,10
Richard Jenkins,God's Pocket,16
John Turturro,God's Pocket,13
Dwayne Johnson,Hercules,37
John Hurt,Hercules,17
Ian McShane,Hercules,11
Joseph Fiennes,Hercules,14
Brenton Thwaites,The Signal,7
Olivia Cooke,The Signal,7
Beau Knapp,The Signal,1
Laurence Fishburne,The Signal,23
Christian Bale,Exodus: Gods and Kings,37
Joel Edgerton,Exodus: Gods and Kings,21
Ben Kingsley,Exodus: Gods and Kings,33
Sigourney Weaver,Exodus: Gods and Kings,31
Cameron Diaz,The Other Woman,32
Leslie Mann,The Other Woman,13
Kate Upton,The Other Woman,1
Nikolaj Coster-Waldau,The Other Woman,8
Jill Larson,The Taking of Deborah Logan,1
Anne Ramsay,The Taking of Deborah Logan,1
Michelle Ang,The Taking of Deborah Logan,1
Brett Gentile,The Taking of Deborah Logan,1
Jeff Roop,Backcountry,1
Missy Peregrym,Backcountry,2
Nicholas Campbell,Backcountry,1
Eric Balfour,Backcountry,2
Mark Wahlberg,The Gambler,45
Jessica Lange,The Gambler,13
John Goodman,The Gambler,38
Brie Larson,The Gambler,11
Liam Neeson,Taken 3,48
Forest Whitaker,Taken 3,24
Maggie Grace,Taken 3,9
Famke Janssen,Taken 3,16
Antonio Banderas,Automata,44
Dylan McDermott,Automata,9
Melanie Griffith,Automata,14
Elizabeth Banks,Walk of Shame,21
James Marsden,Walk of Shame,22
Gillian Jacobs,Walk of Shame,8
Sarah Wright,Walk of Shame,3
Dennis Widmyer,Starry Eyes,3
Alex Essoe,Starry Eyes,2
Amanda Fuller,Starry Eyes,1
Noah Segan,Starry Eyes,2
Fabianne Therese,Starry Eyes,2
Sam Claflin,The Riot Club,11
Max Irons,The Riot Club,4
Douglas Booth,The Riot Club,5
Jessica Brown Findlay,The Riot Club,5
Britt Robertson,Ask Me Anything,7
Molly Hagan,Ask Me Anything,2
Andy Buckley,Ask Me Anything,1
Robert Patrick,Ask Me Anything,10
Kevin Hart,About Last Night,20
Michael Ealy,About Last Night,9
Regina Hall,About Last Night,11
Joy Bryant,About Last Night,5
Varun Dhawan,Humpty Sharma Ki Dulhania,9
Alia Bhatt,Humpty Sharma Ki Dulhania,14
Ashutosh Rana,Humpty Sharma Ki Dulhania,6
Sidharth Shukla,Humpty Sharma Ki Dulhania,1
Salman Khan,Kick,19
Jacqueline Fernandez,Kick,8
Nawazuddin Siddiqui,Kick,14
Randeep Hooda,Kick,3
Anna Kendrick,Into the Woods,26
Meryl Streep,Into the Woods,45
Chris Pine,Into the Woods,23
Emily Blunt,Into the Woods,27
Ryan Reynolds,The Captive,41
Scott Speedman,The Captive,8
Rosario Dawson,The Captive,20
Mireille Enos,The Captive,4
Ryan Guzman,Step Up All In,3
Briana Evigan,Step Up All In,4
Adam Sevani,Step Up All In,3
Misha Gabriel Hamilton,Step Up All In,2
Chris Evans,Playing It Cool,29
Michelle Monaghan,Playing It Cool,16
Topher Grace,Playing It Cool,11
Aubrey Plaza,Playing It Cool,11
Dane Cook,Planes: Fire & Rescue,8
Ed Harris,Planes: Fire & Rescue,33
Julie Bowen,Planes: Fire & Rescue,4
Curtis Armstrong,Planes: Fire & Rescue,3
Kristen Wiig,Welcome to Me,19
James Marsden,Welcome to Me,22
Linda Cardellini,Welcome to Me,9
Wes Bentley,Welcome to Me,5
Megan Fox,Teenage Mutant Ninja Turtles,7
Will Arnett,Teenage Mutant Ninja Turtles,14
William Fichtner,Teenage Mutant Ninja Turtles,5
Noel Fisher,Teenage Mutant Ninja Turtles,2
Russell Crowe,Noah,32
Jennifer Connelly,Noah,27
Anthony Hopkins,Noah,47
Emma Watson,Noah,16
Adam Sandler,The Cobbler,40
Melonie Diaz,The Cobbler,2
Steve Buscemi,The Cobbler,22
Method Man,The Cobbler,3
Juliana Harkavy,Last Shift,1
Joshua Mikel,Last Shift,1
Hank Stone,Last Shift,1
J. LaRose,Last Shift,1
Michael Douglas,And So It Goes,35
Diane Keaton,And So It Goes,27
Sterling Jerins,And So It Goes,1
Annie Parisse,And So It Goes,1
Richard Armitage,Into the Storm,6
Sarah Wayne Callies,Into the Storm,3
Matt Walsh,Into the Storm,3
Max Deacon,Into the Storm,1
Nicholas Hoult,Young Ones,22
Kodi Smit-McPhee,Young Ones,10
Michael Shannon,Young Ones,20
Elle Fanning,Young Ones,21
Greg Kinnear,Heaven Is for Real,24
Kelly Reilly,Heaven Is for Real,12
Thomas Haden Church,Heaven Is for Real,10
Connor Corum,Heaven Is for Real,1
John Travolta,The Forger,35
Christopher Plummer,The Forger,27
Tye Sheridan,The Forger,10
Abigail Spencer,The Forger,4
Anna Kendrick,The Last Five Years,26
Jeremy Jordan,The Last Five Years,1
Tamara Mintz,The Last Five Years,1
Cassandra Inman,The Last Five Years,1
Liam Cunningham,Let Us Prey,8
Pollyanna McIntosh,Let Us Prey,2
Bryan Larkin,Let Us Prey,2
Hanna Stanbridge,Let Us Prey,1
Simon Pegg,Kill Me Three Times,20
Teresa Palmer,Kill Me Three Times,13
Alice Braga,Kill Me Three Times,9
Luke Hemsworth,Kill Me Three Times,2
Rupert Evans,The Canal,2
Antonia Campbell-Hughes,The Canal,3
Hannah Hoekstra,The Canal,1
Kelly Byrne,The Canal,1
Anne Hathaway,Song One,31
Johnny Flynn,Song One,3
Ben Rosenfield,Song One,2
Faiza Mouha Abbazi,Song One,1
Cary Murnion,Cooties,3
Elijah Wood,Cooties,24
Rainn Wilson,Cooties,12
Alison Pill,Cooties,5
Jack McBrayer,Cooties,3
Robin Williams,The Angriest Man in Brooklyn,38
Mila Kunis,The Angriest Man in Brooklyn,18
Peter Dinklage,The Angriest Man in Brooklyn,12
Melissa Leo,The Angriest Man in Brooklyn,8
Christina Hendricks,Lost River,10
Iain De Caestecker,Lost River,1
Matt Smith,Lost River,7
Saoirse Ronan,Lost River,17
Rose Leslie,Honeymoon,3
Harry Treadaway,Honeymoon,2
Ben Huber,Honeymoon,1
Hanna Brown,Honeymoon,1
Arnold Schwarzenegger,Sabotage,28
Sam Worthington,Sabotage,17
Terrence Howard,Sabotage,12
Olivia Williams,Sabotage,11
Andy Powers,Clown,1
Laura Allen,Clown,1
Peter Stormare,Clown,7
Christian Distefano,Clown,1
Pierce Brosnan,Some Kind of Beautiful,31
Salma Hayek,Some Kind of Beautiful,25
Jessica Alba,Some Kind of Beautiful,18
Malcolm McDowell,Some Kind of Beautiful,12
Gina Carano,In the Blood,2
Cam Gigandet,In the Blood,6
Ismael Cruz Cordova,In the Blood,1
Danny Trejo,In the Blood,9
Kevin Hart,Think Like a Man Too,20
Gabrielle Union,Think Like a Man Too,9
Wendi McLendon-Covey,Think Like a Man Too,4
La La Anthony,Think Like a Man Too,1
Will Arnett,The Nut Job,14
Brendan Fraser,The Nut Job,21
Liam Neeson,The Nut Job,48
Katherine Heigl,The Nut Job,16
Nicole Kidman,Grace of Monaco,49
Tim Roth,Grace of Monaco,19
Frank Langella,Grace of Monaco,14
John Karna,Premature,1
Caroline Traywick,Premature,1
Kate Kneeland,Premature,1
Steve Coulter,Premature,1
Teo Halm,Earth to Echo,1
Astro,Earth to Echo,2
Reese Hartwig,Earth to Echo,1
Ella Wahlestedt,Earth to Echo,1
Dominic Cooper,Reasonable Doubt,10
Samuel L. Jackson,Reasonable Doubt,62
Gloria Reuben,Reasonable Doubt,2
Ryan Robbins,Reasonable Doubt,3
Shane Johnson,The Possession of Michael King,1
Ella Anderson,The Possession of Michael King,3
Cara Pifko,The Possession of Michael King,1
Julie McNiven,The Possession of Michael King,1
Diogo Morgado,Son of God,1
Amber Rose Revah,Son of God,1
Greg Hicks,Son of God,1
Adrian Schiller,Son of God,1
Mark Wahlberg,Transformers: Age of Extinction,45
Nicola Peltz Beckham,Transformers: Age of Extinction,1
Jack Reynor,Transformers: Age of Extinction,7
Stanley Tucci,Transformers: Age of Extinction,24
Heather Sossaman,Unfriended,1
Matthew Bohrer,Unfriended,1
Courtney Halverson,Unfriended,1
Shelley Hennig,Unfriended,2
Peter Farrelly,Dumb and Dumber To,11
