stars,title,appearances
June Duprez,The Thief of Bagdad,1
John Justin,The Thief of Bagdad,1
Irene Dunne,My Favorite Wife,2
Cary Grant,My Favorite Wife,20
Randolph Scott,My Favorite Wife,2
Gail Patrick,My Favorite Wife,2
Humphrey Bogart,The Maltese Falcon,19
Mary Astor,The Maltese Falcon,3
Gladys George,The Maltese Falcon,2
Peter Lorre,The Maltese Falcon,4
Joel McCrea,Sullivan's Travels,5
Veronica Lake,Sullivan's Travels,2
Robert Warwick,Sullivan's Travels,1
William Demarest,Sullivan's Travels,1
Bette Davis,The Little Foxes,9
Herbert Marshall,The Little Foxes,5
Teresa Wright,The Little Foxes,6
Richard Carlson,The Little Foxes,3
Walter Pidgeon,How Green Was My Valley,4
Maureen O'Hara,How Green Was My Valley,10
Anna Lee,How Green Was My Valley,1
Donald Crisp,How Green Was My Valley,5
Gary Cooper,Sergeant York,9
Walter Brennan,Sergeant York,6
Joan Leslie,Sergeant York,2
George Tobias,Sergeant York,1
Barbara Stanwyck,The Lady Eve,6
Henry Fonda,The Lady Eve,19
Charles Coburn,The Lady Eve,5
Eugene Pallette,The Lady Eve,1
Gary Cooper,Ball of Fire,9
Barbara Stanwyck,Ball of Fire,6
Oscar Homolka,Ball of Fire,2
Henry Travers,Ball of Fire,3
Gary Cooper,Meet John Doe,9
Barbara Stanwyck,Meet John Doe,6
Edward Arnold,Meet John Doe,3
Walter Brennan,Meet John Doe,6
Ida Lupino,High Sierra,1
Humphrey Bogart,High Sierra,19
Alan Curtis,High Sierra,1
Arthur Kennedy,High Sierra,4
Cary Grant,Suspicion,20
Joan Fontaine,Suspicion,4
Cedric Hardwicke,Suspicion,2
Nigel Bruce,Suspicion,3
Norman Ferguson,Dumbo,2
Wilfred Jackson,Dumbo,9
Jack Kinney,Dumbo,6
Bill Roberts,Dumbo,5
Ben Sharpsteen,Dumbo,5
John Elliotte,Dumbo,1
Sterling Holloway,Dumbo,4
Edward Brophy,Dumbo,1
Herman Bing,Dumbo,1
Billy Bletcher,Dumbo,1
Claude Rains,The Wolf Man,8
Warren William,The Wolf Man,1
Lon Chaney Jr.,The Wolf Man,2
Ralph Bellamy,The Wolf Man,4
Carole Lombard,Mr. & Mrs. Smith,3
Robert Montgomery,Mr. & Mrs. Smith,1
Gene Raymond,Mr. & Mrs. Smith,1
Jack Carson,Mr. & Mrs. Smith,5
Humphrey Bogart,Casablanca,19
Ingrid Bergman,Casablanca,8
Paul Henreid,Casablanca,2
Claude Rains,Casablanca,8
Carole Lombard,To Be or Not to Be,3
Jack Benny,To Be or Not to Be,1
Robert Stack,To Be or Not to Be,5
Felix Bressart,To Be or Not to Be,1
Bette Davis,"Now, Voyager",9
Paul Henreid,"Now, Voyager",2
Claude Rains,"Now, Voyager",8
Gladys Cooper,"Now, Voyager",1
James Cagney,Yankee Doodle Dandy,8
Joan Leslie,Yankee Doodle Dandy,2
Walter Huston,Yankee Doodle Dandy,3
Richard Whorf,Yankee Doodle Dandy,1
Gary Cooper,The Pride of the Yankees,9
Teresa Wright,The Pride of the Yankees,6
Babe Ruth,The Pride of the Yankees,1
Walter Brennan,The Pride of the Yankees,6
Greer Garson,Mrs. Miniver,2
Walter Pidgeon,Mrs. Miniver,4
Teresa Wright,Mrs. Miniver,6
May Whitty,Mrs. Miniver,3
Fred Fleck,The Magnificent Ambersons,1
Robert Wise,The Magnificent Ambersons,2
Tim Holt,The Magnificent Ambersons,2
Joseph Cotten,The Magnificent Ambersons,9
Dolores Costello,The Magnificent Ambersons,1
Anne Baxter,The Magnificent Ambersons,4
Claudette Colbert,The Palm Beach Story,2
Joel McCrea,The Palm Beach Story,5
Mary Astor,The Palm Beach Story,3
Rudy Vallee,The Palm Beach Story,1
Alan Ladd,This Gun for Hire,3
Veronica Lake,This Gun for Hire,2
Robert Preston,This Gun for Hire,4
Laird Cregar,This Gun for Hire,1
Samuel Armstrong,Bambi,2
David Hand,Bambi,6
Graham Heid,Bambi,1
Bill Roberts,Bambi,5
Paul Satterfield,Bambi,2
Norman Wright,Bambi,1
Arthur Davis,Bambi,1
Clyde Geronimi,Bambi,5
Hardie Albright,Bambi,1
Stan Alexander,Bambi,1
Bobette Audrey,Bambi,1
Peter Behn,Bambi,1
Robert Allen,Holiday Inn,1
Bing Crosby,Holiday Inn,5
Fred Astaire,Holiday Inn,7
Marjorie Reynolds,Holiday Inn,1
Virginia Dale,Holiday Inn,1
Simone Simon,Cat People,1
Tom Conway,Cat People,2
Kent Smith,Cat People,3
Jane Randolph,Cat People,1
Priscilla Lane,Saboteur,3
Robert Cummings,Saboteur,2
Otto Kruger,Saboteur,2
Alan Baxter,Saboteur,1
Spencer Tracy,Woman of the Year,9
Katharine Hepburn,Woman of the Year,11
Fay Bainter,Woman of the Year,1
Reginald Owen,Woman of the Year,1
Thorkild Roose,Day of Wrath,1
Lisbeth Movin,Day of Wrath,1
Sigrid Neiiendam,Day of Wrath,1
Kirsten Andreasen,Day of Wrath,1
Emeric Pressburger,The Life and Death of Colonel Blimp,4
Roger Livesey,The Life and Death of Colonel Blimp,1
Deborah Kerr,The Life and Death of Colonel Blimp,8
Anton Walbrook,The Life and Death of Colonel Blimp,2
James McKechnie,The Life and Death of Colonel Blimp,1
Henry Fonda,The Ox-Bow Incident,19
Dana Andrews,The Ox-Bow Incident,5
Mary Beth Hughes,The Ox-Bow Incident,1
Anthony Quinn,The Ox-Bow Incident,10
Teresa Wright,Shadow of a Doubt,6
Joseph Cotten,Shadow of a Doubt,9
Macdonald Carey,Shadow of a Doubt,1
Henry Travers,Shadow of a Doubt,3
Pierre Fresnay,Le Corbeau,2
Ginette Leclerc,Le Corbeau,1
Micheline Francey,Le Corbeau,1
Gene Tierney,Heaven Can Wait,5
Don Ameche,Heaven Can Wait,4
Charles Coburn,Heaven Can Wait,5
Marjorie Main,Heaven Can Wait,1
Frances Dee,I Walked with a Zombie,1
Tom Conway,I Walked with a Zombie,2
James Ellison,I Walked with a Zombie,1
Edith Barrett,I Walked with a Zombie,1
Cary Grant,Arsenic and Old Lace,20
Priscilla Lane,Arsenic and Old Lace,3
Raymond Massey,Arsenic and Old Lace,4
Jack Carson,Arsenic and Old Lace,5
Gene Tierney,Laura,5
Dana Andrews,Laura,5
Clifton Webb,Laura,1
Vincent Price,Laura,14
Charles Boyer,Gaslight,3
Ingrid Bergman,Gaslight,8
Joseph Cotten,Gaslight,9
May Whitty,Gaslight,3
Humphrey Bogart,To Have and Have Not,19
Lauren Bacall,To Have and Have Not,12
Walter Brennan,To Have and Have Not,6
Dolores Moran,To Have and Have Not,1
Nikolay Cherkasov,"Ivan the Terrible, Part I",2
Lyudmila Tselikovskaya,"Ivan the Terrible, Part I",1
Serafima Birman,"Ivan the Terrible, Part I",1
Mikhail Nazvanov,"Ivan the Terrible, Part I",1
Tallulah Bankhead,Lifeboat,1
John Hodiak,Lifeboat,1
Walter Slezak,Lifeboat,1
William Bendix,Lifeboat,1
Edward G. Robinson,The Woman in the Window,8
Joan Bennett,The Woman in the Window,4
Raymond Massey,The Woman in the Window,4
Edmund Breon,The Woman in the Window,1
Judy Garland,Meet Me in St. Louis,4
